,importance,stddev,p_value,n,p99_high,p99_low
GrLivArea,0.08323893644526678,0.001693046475334426,4.7891746119253596e-17,10,0.08497886038759346,0.0814990125029401
OverallQual,0.07880868134416034,0.002320662772599311,1.3359697737152855e-15,10,0.08119359917065662,0.07642376351766407
Neighborhood,0.0319075350399427,0.0009468390189741388,1.4317901859592165e-15,10,0.0328805903592403,0.030934479720645107
TotalBsmtSF,0.031315236290243964,0.0012535685909269712,2.1125744739080374e-14,10,0.03260351398165921,0.030026958598828715
OverallCond,0.02305331864355333,0.0012217328976893258,2.627488783005941e-13,10,0.024308879167606823,0.021797758119499834
1stFlrSF,0.019724894144085892,0.0008789093090003562,5.5339261286005694e-14,10,0.020628138899703986,0.0188216493884678
LotArea,0.018608324088167698,0.0006666984139623282,7.794511700346675e-15,10,0.019293482203827306,0.01792316597250809
YearBuilt,0.016691887215683234,0.0005682984961938199,4.927514281921487e-15,10,0.01727592089362498,0.01610785353774149
BsmtFinSF1,0.0139591763436708,0.0008031567178180692,5.495659349188168e-13,10,0.014784571052635384,0.013133781634706217
YearRemodAdd,0.011103913783330704,0.0005326195562095076,1.0730867732129336e-13,10,0.011651280634448763,0.010556546932212646
GarageCars,0.010647269469536804,0.0003607127281109616,4.713196229075495e-15,10,0.01101796969607268,0.01027656924300093
GarageArea,0.009852239173867919,0.00038061088650487263,1.534519372774182e-14,10,0.010243388503663606,0.009461089844072231
2ndFlrSF,0.009558530295749806,0.000495411043682271,2.1514025963975162e-13,10,0.010067658396338755,0.009049402195160856
Latitude,0.00849730835156599,0.0004384357489879631,2.0663798235431e-13,10,0.00894788361216857,0.00804673309096341
SaleCondition,0.00794023761716525,0.00037663809997140094,9.706517812318748e-14,10,0.00832730416098427,0.00755317107334623
CentralAir,0.007037287132879532,0.00031785886858109075,6.252348619442355e-14,10,0.007363946952194809,0.006710627313564255
Longitude,0.007019390086291067,0.0003709753480720638,2.5632515002692685e-13,10,0.007400637086611043,0.0066381430859710905
KitchenQual,0.006748566398722007,0.0005024543567979407,5.545805686342708e-12,10,0.007264932829328351,0.006232199968115663
GarageYrBlt,0.006319640573199156,0.00020351870806530065,2.988070881774147e-15,10,0.006528794354877987,0.006110486791520325
LotFrontage,0.005616869955783229,0.0003738253754732877,2.0292789791199017e-12,10,0.006001045895730037,0.00523269401583642
BsmtFinType1,0.005310629306508691,0.00039472767421975017,5.4625177882890345e-12,10,0.005716286292940919,0.004904972320076462
OpenPorchSF,0.0052188087568765225,0.00028975299681722013,3.990502067290066e-13,10,0.005516584502473585,0.00492103301127946
Condition1,0.004970354863870359,0.0003037644656542303,9.445490204035176e-13,10,0.005282530031132359,0.004658179696608358
Fireplaces,0.0049073225600600075,0.00023115466517109934,9.116308472133654e-14,10,0.005144877489691965,0.00466976763042805
FireplaceQu,0.004849222364326813,0.00026121890748497905,3.04228187883843e-13,10,0.005117673962049053,0.004580770766604573
WoodDeckSF,0.0045111607255231955,0.0002712432810680392,8.160287962331132e-13,10,0.004789914254030028,0.004232407197016363
Exterior1st,0.004435257418898912,0.00021577786294910964,1.2185761934012936e-13,10,0.004657009789810692,0.004213505047987132
BsmtQual,0.0042516067555041885,0.00031375313347562736,5.1223434696193724e-12,10,0.004574047159159635,0.003929166351848742
MSZoning,0.004197593977032583,0.0002601705931506868,1.071589754552801e-12,10,0.00446496823444793,0.003930219719617235
HalfBath,0.004140352548840197,0.00041748229301882014,8.357244011148751e-11,10,0.004569394189281524,0.0037113109083988707
BsmtUnfSF,0.004133928730109019,0.0003136151715717222,6.560973405269206e-12,10,0.00445622735193908,0.003811630108278957
MasVnrArea,0.004124956844345126,0.0002307461625814341,4.2685457241995653e-13,10,0.004362091960672124,0.0038878217280181285
BsmtExposure,0.003861415543400924,0.0004625405187670283,3.8785705308028513e-10,10,0.004336762992288874,0.0033860680945129737
HeatingQC,0.0035952262329386974,0.00032020324558549744,2.757383208823687e-11,10,0.003924295340917478,0.0032661571249599174
FullBath,0.003279131477517123,0.00015752415443018986,1.087550861792157e-13,10,0.003441017197596788,0.0031172457574374576
MoSold,0.003155163707791333,0.0001400588241968829,5.3492139699510935e-14,10,0.0032991005134871978,0.003011226902095468
ScreenPorch,0.0031092809794113193,0.0003658435576906013,3.3079408984638535e-10,10,0.0034852540991368803,0.0027333078596857583
TotRmsAbvGrd,0.003090333235171052,0.00028216454620559443,3.4437669499393245e-11,10,0.0033803104193602107,0.0028003560509818936
GarageFinish,0.002920157298921504,0.00022163324407476997,6.5873580992403994e-12,10,0.003147927176121746,0.0026923874217212617
BsmtFullBath,0.002844333054346239,0.00029350338523791516,1.0270433875284063e-10,10,0.003145963029996203,0.002542703078696275
ExterQual,0.002727737397521429,0.00025274682610962877,3.9274716597459657e-11,10,0.002987482336896679,0.002467992458146179
Functional,0.0027265827830663205,0.0002768384145142629,8.88998004321279e-11,10,0.003011086364383531,0.0024420792017491103
Exterior2nd,0.0025922135550434404,0.00018604399713912213,3.991417724410034e-12,10,0.00278340878191078,0.002401018328176101
YrSold,0.0025918985571556233,0.00024285034082487363,4.3385463458993245e-11,10,0.0028414729950457162,0.0023423241192655304
MSSubClass,0.0022535756482563478,0.00015020617613919996,2.056326405840332e-12,10,0.0024079407681496506,0.002099210528363045
EnclosedPorch,0.0021520571315107187,0.00022370484304553572,1.0965781696521345e-10,10,0.002381955966598796,0.0019221582964226414
PavedDrive,0.0018243402912279944,0.00010503365400318347,5.527796430282537e-13,10,0.0019322821416217332,0.0017163984408342557
LotConfig,0.0018241731594894055,0.00022298992004156758,4.645972191318247e-10,10,0.0020533372766180845,0.0015950090423607266
Foundation,0.0015094741978056159,0.00010711204824285378,3.605130863044422e-12,10,0.00161955198950509,0.0013993964061061418
HouseStyle,0.0015079823296750166,0.00023074108712439553,3.3989539312172236e-09,10,0.0017451122300145333,0.0012708524293355
SaleType,0.0014566279900209908,0.00016285541150088623,2.099159690188164e-10,10,0.0016239925802646726,0.001289263399777309
LotShape,0.0014270758117436854,0.00016083520059408826,2.2545026689670793e-10,10,0.00159236425500824,0.0012617873684791308
MasVnrType,0.0013285237588214088,0.00010142428554272186,6.942230859736397e-12,10,0.0014327563037161385,0.001224291213926679
BedroomAbvGr,0.0012908529897118013,0.0001093159625802277,1.756592723488296e-11,10,0.001403195718244552,0.0011785102611790506
GarageQual,0.0012536586153505621,0.00010115658439687722,1.1397090153070513e-11,10,0.0013576160469274774,0.0011497011837736468
GarageType,0.0012399459943186308,0.0001445157906917033,3.039925252389777e-10,10,0.0013884631720405818,0.0010914288165966798
ExterCond,0.0011396478613172605,0.00011402409399686349,7.797196555465605e-11,10,0.0012568290811110423,0.0010224666415234787
Fence,0.0009248704440837023,0.00011236363360306847,4.3984189604984447e-10,10,0.0010403452282677476,0.0008093956598996569
BsmtFinSF2,0.0008332246098536888,0.00011962440162139423,1.935083518073571e-09,10,0.0009561611999000153,0.0007102880198073623
GarageCond,0.0008085753357320431,7.820482340381263e-05,5.761851394274252e-11,10,0.000888945512586666,0.0007282051588774203
BldgType,0.0007866113461050892,0.00010067698124540478,6.988212425603618e-10,10,0.000890075895166244,0.0006831467970439345
BsmtFinType2,0.0006721297057695627,0.00014728355119311503,7.887901942461554e-08,10,0.0008234912783933615,0.000520768133145764
RoofStyle,0.0006246514890826699,6.935437894553543e-05,1.973155756906897e-10,10,0.0006959261683017968,0.000553376809863543
KitchenAbvGr,0.00048267179128755474,6.838123431923747e-05,1.7202634249319597e-09,10,0.0005529463812242489,0.0004123972013508606
Electrical,0.0004747813961905628,5.7540085575476536e-05,4.303267351889904e-10,10,0.0005339146651201839,0.0004156481272609417
LandSlope,0.00047360858977730304,3.730439393269864e-05,9.183567980595691e-12,10,0.0005119458764986658,0.00043527130305594025
MiscVal,0.00044529787656724315,4.299998216022611e-05,5.680033498454969e-11,10,0.0004894884522957796,0.00040110730083870675
BsmtHalfBath,0.0004245666636453746,5.869425168672459e-05,1.3847924478132617e-09,10,0.0004848860555076139,0.0003642472717831353
BsmtCond,0.00040689459246386685,7.286170577651371e-05,1.3565669623580981e-08,10,0.00048177371020000396,0.00033201547472772974
Alley,0.0004008110638217217,5.119519282946231e-05,6.863507419109466e-10,10,0.0004534237611302334,0.00034819836651321006
LandContour,0.00028628126163518855,5.361508781906539e-05,2.0093667166299422e-08,10,0.00034138085655204556,0.0002311816667183315
3SsnPorch,0.00027139916144804934,4.156059395195041e-05,3.4228518110711034e-09,10,0.0003141104948507737,0.000228687828045325
Heating,0.00026598618693869506,2.4129193046103143e-05,3.249999881323214e-11,10,0.00029078347472823694,0.00024118889914915317
PoolArea,0.0002465492622988535,4.906532502195047e-05,3.4153861647880084e-08,10,0.0002969731195215969,0.00019612540507611017
LowQualFinSF,0.00024570971080708213,5.610443818992769e-05,1.1259472362395737e-07,10,0.0003033675818103931,0.00018805183980377118
MiscFeature,0.00021560315150092254,6.166919521480828e-05,7.713805372903417e-07,10,0.000278979857823806,0.00015222644517803906
Condition2,0.00010437145808395928,1.9510984308367406e-05,1.977371942537299e-08,10,0.00012442266709154602,8.432024907637254e-05
PoolQC,8.622409128619321e-05,1.0773464979064675e-05,5.644038507655981e-10,10,9.72958544846547e-05,7.515232808773172e-05
RoofMatl,8.275779124110872e-05,1.65097269433382e-05,3.4888372088070364e-08,10,9.97246433674308e-05,6.579093911478663e-05
Street,9.430761118211367e-06,2.5947555933579424e-06,5.554362955604151e-07,10,1.2097360911626829e-05,6.7641613247959055e-06
Utilities,8.291567271356132e-06,3.1953293592124126e-06,9.029618377922106e-06,10,1.1575369657592964e-05,5.0077648851193e-06
